reservation_number_of_reservations,product_fee_description,line_item_product_code,reservation_unused_normalized_unit_quantity,savings_plan_amortized_upfront_commitment_for_billing_period,line_item_unblended_cost,product_servicecode,product_from_location,line_item_unblended_rate,line_item_usage_type,identity_line_item_id,line_item_usage_amount,pricing_public_on_demand_rate,reservation_units_per_reservation,bill_invoice_id,pricing_unit,reservation_amortized_upfront_fee_for_billing_period,product_to_location_type,line_item_usage_end_date,product_from_location_type,reservation_total_reserved_units,product_region_code,reservation_amortized_upfront_cost_for_usage,reservation_unused_amortized_upfront_fee_for_billing_period,product_product_name,line_item_normalization_factor,bill_payer_account_name,line_item_blended_rate,line_item_resource_id,_fivetran_synced,line_item_line_item_type,product_instance_family,product_from_region_code,product_pricing_unit,line_item_tax_type,product,line_item_operation,_modified,product_to_location,line_item_usage_start_date,reservation_unused_recurring_fee,product_location_type,product_fee_code,reservation_recurring_fee_for_usage,reservation_upfront_value,bill_invoicing_entity,line_item_normalized_usage_amount,savings_plan_savings_plan_effective_cost,bill_bill_type,reservation_total_reserved_normalized_units,line_item_availability_zone,bill_billing_period_start_date,pricing_term,pricing_purchase_option,_line,reservation_effective_cost,reservation_normalized_units_per_reservation,line_item_line_item_description,product_instance_type,savings_plan_used_commitment,savings_plan_recurring_commitment_for_billing_period,pricing_public_on_demand_cost,line_item_usage_account_name,line_item_currency_code,line_item_blended_cost,_file,pricing_currency,reservation_unused_quantity,product_location,savings_plan_savings_plan_rate,bill_billing_entity,bill_billing_period_end_date,bill_payer_account_id,identity_time_interval,product_operation,product_usagetype,product_to_region_code,product_product_family,line_item_usage_account_id,savings_plan_total_commitment_to_date
,,AmazonEC2,,,4.1584,AWSLambda,,1.03697,DataTransfer-Out-Bytes,e9918d13-ed87-2eb6-b668-d7803b01f3b6,23.2572,2.48017,,,GB,,,2026-05-28 22:37:35.308,,,us-east-1,,,AWS Data Transfer,1.0,Analytics,0.85066,,2026-05-28 22:37:35.308,Usage,,,,,"{""product_name"":""AWS Data Transfer""}",RunInstances,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.308,,AWS Region,,,,"Amazon Web Services, Inc.",6.6263,,Anniversary,,,2026-05-01 00:00:00,Reserved,No Upfront,221577.0,,,S3 standard storage,c7g.xlarge,,,10.7715,Data Platform,USD,8.3249,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
,,AmazonEC2,,,2.9807,AWSLambda,,0.352,BoxUsage:m7g.large,ef0e5761-738e-ede8-4924-bf5b4864cde5,29.6986,3.89478,,,Requests,,,2026-05-28 22:37:35.338,,,us-west-2,,,Amazon Elastic Compute Cloud,1.0,Platform,0.9167,,2026-05-28 22:37:35.338,Usage,,,,,"{""product_name"":""Amazon Simple Storage Service""}",DataTransfer,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.338,,AWS Region,,,,"Amazon Web Services, Inc.",10.8516,,Anniversary,,,2026-05-01 00:00:00,Reserved,On Demand,233486.0,,,S3 standard storage,m7g.large,,,11.1659,Data Platform,USD,7.4661,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Serverless,200000000003,
,,AmazonS3,,,2.1117,AmazonS3,,0.14654,DataTransfer-Out-Bytes,74afa081-cf07-2757-6b64-c67cf1f3b58a,17.4637,2.4305,,,GB,,,2026-05-28 22:37:35.339,,,us-west-2,,,AWS Data Transfer,1.0,Analytics,2.09339,,2026-05-28 22:37:35.339,Usage,Compute optimized,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.339,,AWS Region,,,,"Amazon Web Services, Inc.",5.6439,,Anniversary,,,2026-05-01 00:00:00,Reserved,Partial Upfront,175718.0,,,S3 standard storage,m7g.large,,,6.6055,Developer Experience,USD,6.0776,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US East (N. Virginia),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Storage,200000000003,
,,AWSDataTransfer,,,5.3595,AmazonS3,,2.95309,BoxUsage:m7g.large,c3c8e3f5-7cc9-7a2e-061c-3d70713493b1,28.2282,2.72466,,,GB,,,2026-05-28 22:37:35.340,,,us-east-1,,,AWS Lambda,1.0,Platform,0.71406,,2026-05-28 22:37:35.340,Usage,Compute optimized,,,,"{""product_name"":""Amazon Simple Storage Service""}",RunInstances,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.340,,AWS Region,,,,"Amazon Web Services, Inc.",15.7447,,Anniversary,,,2026-05-01 00:00:00,OnDemand,Partial Upfront,415354.0,,,Data transfer,m7g.large,,,14.6943,Developer Experience,USD,1.8184,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Serverless,200000000002,
,,AmazonS3,,,15.7198,AWSDataTransfer,,1.26523,Request,9e70b847-bffb-97ac-f0c0-1a3d20fd92eb,28.8757,1.61539,,,GB,,,2026-05-28 22:37:35.342,,,us-east-1,,,AWS Data Transfer,1.0,Analytics,0.9376,,2026-05-28 22:37:35.342,Usage,General purpose,,,,"{""product_name"":""Amazon Elastic Compute Cloud""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.342,,AWS Region,,,,"Amazon Web Services, Inc.",13.7779,,Anniversary,,,2026-05-01 00:00:00,OnDemand,On Demand,262161.0,,,EC2 instance hours,,,,15.4579,Core Services,USD,10.6433,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000002,
,,AWSDataTransfer,,,10.8325,AWSDataTransfer,,0.071,BoxUsage:m7g.large,d9b7adbf-2e79-02dc-8ce7-4ad37a51fd63,33.7273,3.86045,,,Hrs,,,2026-05-28 22:37:35.344,,,eu-west-1,,,Amazon Simple Storage Service,1.0,Analytics,0.27393,,2026-05-28 22:37:35.344,Usage,,,,,"{""product_name"":""AWS Lambda""}",RunInstances,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.344,,AWS Region,,,,"Amazon Web Services, Inc.",36.9303,,Anniversary,,,2026-05-01 00:00:00,Reserved,On Demand,123825.0,,,Lambda requests,m7g.large,,,4.8638,Core Services,USD,0.4659,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000001,
,,AmazonS3,,,18.3102,AmazonEC2,,1.85698,DataTransfer-Out-Bytes,774ccabc-e400-a53b-43d8-0048476225fd,24.7538,1.00788,,,GB,,,2026-05-28 22:37:35.345,,,us-east-1,,,AWS Lambda,1.0,Platform,2.19976,,2026-05-28 22:37:35.345,Usage,General purpose,,,,"{""product_name"":""Amazon Simple Storage Service""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.345,,AWS Region,,,,"Amazon Web Services, Inc.",26.4571,,Anniversary,,,2026-05-01 00:00:00,Reserved,No Upfront,313510.0,,,Data transfer,c7g.xlarge,,,20.6809,Data Platform,USD,14.4694,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
,,AWSDataTransfer,,,16.5291,AmazonEC2,,2.39518,DataTransfer-Out-Bytes,cc8bbd8a-d28f-c57d-e61d-75b3317fd2d7,39.4857,2.51124,,,Hrs,,,2026-05-28 22:37:35.345,,,eu-west-1,,,AWS Data Transfer,1.0,Platform,1.61576,,2026-05-28 22:37:35.345,Usage,,,,,"{""product_name"":""AWS Lambda""}",Invoke,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.345,,AWS Region,,,,"Amazon Web Services, Inc.",33.4761,,Anniversary,,,2026-05-01 00:00:00,Reserved,On Demand,492161.0,,,S3 standard storage,,,,13.7174,Data Platform,USD,3.4337,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000002,
,,AWSLambda,,,10.0259,AWSLambda,,3.04207,TimedStorage-ByteHrs,e21a81f8-4079-750f-50b4-51c0477d7c41,28.6463,3.28293,,,Requests,,,2026-05-28 22:37:35.347,,,us-west-2,,,AWS Data Transfer,1.0,Analytics,0.16845,,2026-05-28 22:37:35.347,Usage,Compute optimized,,,,"{""product_name"":""Amazon Simple Storage Service""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.347,,AWS Region,,,,"Amazon Web Services, Inc.",32.2613,,Anniversary,,,2026-05-01 00:00:00,Reserved,On Demand,89221.0,,,Lambda requests,c7g.xlarge,,,12.9229,Developer Experience,USD,7.0722,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,US West (Oregon),,AWS,2026-06-01 00:00:00,100000000002,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Data Transfer,200000000002,
,,AWSDataTransfer,,,2.525,AWSLambda,,2.50684,BoxUsage:m7g.large,1ec62f99-e76d-01fd-5008-4fa439d0444c,19.8658,3.45171,,,GB,,,2026-05-28 22:37:35.348,,,us-east-1,,,AWS Data Transfer,1.0,Platform,0.4729,,2026-05-28 22:37:35.348,Usage,General purpose,,,,"{""product_name"":""AWS Lambda""}",TimedStorage-ByteHrs,2026-05-28 00:00:00.000,,2026-05-28 22:37:35.348,,AWS Region,,,,"Amazon Web Services, Inc.",23.1626,,Anniversary,,,2026-05-01 00:00:00,OnDemand,No Upfront,266158.0,,,S3 standard storage,c7g.xlarge,,,5.2707,Data Platform,USD,13.3125,shadowtraffic/aws-cost/2026-05/aws-cost-report.parquet,USD,,EU (Ireland),,AWS,2026-06-01 00:00:00,100000000001,2026-05-01T00:00:00Z/2026-06-01T00:00:00Z,,,,Compute Instance,200000000003,
